
Fri Feb  2 02:50:10 CET 2024

ANDILLY;1900;417
BEAULIEU;1998;25
LE PIN;2103;27
MARSEILLE;3400;1012
MONS;1942;74
SALLES;2151;382
STE COLOMBE;2789;113
ST LEGER;1820;44
ST MICHEL;1909;168
ST SAUVEUR;3043;350

Fri Feb  2 16:02:19 CET 2024

ANDILLY;1900;417
BEAULIEU;1998;25
LE PIN;2103;27
MARSEILLE;3400;1012
MONS;1942;74
SALLES;2151;382
STE COLOMBE;2789;113
ST LEGER;1820;44
ST MICHEL;1909;168
ST SAUVEUR;3043;350

Fri Feb  2 16:06:20 CET 2024

ANDILLY;1900;417
BEAULIEU;1998;25
LE PIN;2103;27
MARSEILLE;3400;1012
MONS;1942;74
SALLES;2151;382
STE COLOMBE;2789;113
ST LEGER;1820;44
ST MICHEL;1909;168
ST SAUVEUR;3043;350

Fri Feb  2 16:25:57 CET 2024


Fri Feb  2 16:27:56 CET 2024


Fri Feb  2 16:30:55 CET 2024

ANDILLY;1900;417
BEAULIEU;1998;25
LE PIN;2103;27
MARSEILLE;3400;1012
MONS;1942;74
SALLES;2151;382
STE COLOMBE;2789;113
ST LEGER;1820;44
ST MICHEL;1909;168
ST SAUVEUR;3043;350

Fri Feb  2 16:33:42 CET 2024


Fri Feb  2 16:36:16 CET 2024

ANDILLY;1900;417
BEAULIEU;1998;25
LE PIN;2103;27
MARSEILLE;3400;1012
MONS;1942;74
SALLES;2151;382
STE COLOMBE;2789;113
ST LEGER;1820;44
ST MICHEL;1909;168
ST SAUVEUR;3043;350

Fri Feb  2 16:43:14 CET 2024


Fri Feb  2 16:44:05 CET 2024

ANDILLY;1900;417
BEAULIEU;1998;25
LE PIN;2103;27
MARSEILLE;3400;1012
MONS;1942;74
SALLES;2151;382
STE COLOMBE;2789;113
ST LEGER;1820;44
ST MICHEL;1909;168
ST SAUVEUR;3043;350

Fri Feb  2 16:46:29 CET 2024

ANDILLY;1900;417
BEAULIEU;1998;25
LE PIN;2103;27
MARSEILLE;3400;1012
MONS;1942;74
SALLES;2151;382
STE COLOMBE;2789;113
ST LEGER;1820;44
ST MICHEL;1909;168
ST SAUVEUR;3043;350

Fri Feb  2 16:48:01 CET 2024

ANDILLY;1900;417
BEAULIEU;1998;25
LE PIN;2103;27
MARSEILLE;3400;1012
MONS;1942;74
SALLES;2151;382
STE COLOMBE;2789;113
ST LEGER;1820;44
ST MICHEL;1909;168
ST SAUVEUR;3043;350

Fri Feb  2 16:50:13 CET 2024

ANDILLY;1900;417
BEAULIEU;1998;25
LE PIN;2103;27
MARSEILLE;3400;1012
MONS;1942;74
SALLES;2151;382
STE COLOMBE;2789;113
ST LEGER;1820;44
ST MICHEL;1909;168
ST SAUVEUR;3043;350

Fri Feb  2 16:52:24 CET 2024

ANDILLY;1900;417
BEAULIEU;1998;25
LE PIN;2103;27
MARSEILLE;3400;1012
MONS;1942;74
SALLES;2151;382
STE COLOMBE;2789;113
ST LEGER;1820;44
ST MICHEL;1909;168
ST SAUVEUR;3043;350

Fri Feb  2 16:56:02 CET 2024

ANDILLY;1900;417
BEAULIEU;1998;25
LE PIN;2103;27
MARSEILLE;3400;1012
MONS;1942;74
SALLES;2151;382
STE COLOMBE;2789;113
ST LEGER;1820;44
ST MICHEL;1909;168
ST SAUVEUR;3043;350

Fri Feb  2 17:01:31 CET 2024

ANDILLY;1900;417
BEAULIEU;1998;25
LE PIN;2103;27
MARSEILLE;3400;1012
MONS;1942;74
SALLES;2151;382
STE COLOMBE;2789;113
ST LEGER;1820;44
ST MICHEL;1909;168
ST SAUVEUR;3043;350
